Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestSuggestions,0.9206,1.50576,0.95413,0.98288,0.93037,0.94192,1.20103
TestTraverseNoParentFlags,1.28327,1.94289,1.29133,1.309,1.27187,1.29065,1.28153
TestTraverseWithBadChildFlag,1.32202,1.92021,1.33202,1.2792,1.20725,1.27708,1.34459
TestTraverseWithBadParentFlags,1.22492,1.99325,1.29172,1.27856,1.30884,1.2929,1.27602
TestTraverseWithParentFlags,1.94295,2.67092,1.81255,1.62641,1.32354,1.33505,1.26985
TestTraverseWithTwoSubcommands,1.29033,1.99052,1.30788,1.26778,1.27922,1.31654,1.32024
TestUngroupedCommand,1.5042,2.24343,1.44965,1.381,1.32705,1.25983,1.33829
TestUnknownFlagShouldReturnSameErrorRegardlessOfArgPosition,1.39388,2.09214,1.41553,1.37449,1.34809,1.34283,1.38504
TestUpdateName,1.28918,1.96491,1.27991,1.54832,1.27294,1.31436,1.28821
TestUsageCompletionGroup,1.35718,2.0506,1.35265,1.34089,1.46887,1.50248,1.49726
TestUsageHelpGroup,1.3264,2.0866,1.33429,1.3402,1.40513,1.38193,1.44498
TestUsageIsNotPrintedTwice,0.93816,1.4561,0.9855,0.95481,0.91769,0.91384,0.95251
TestUsageStringRedirected,1.34976,1.97069,1.29588,1.27534,1.24278,1.26639,1.201
TestUsageWithGroup,1.93056,2.41748,1.88262,1.56917,1.49268,1.41983,1.40386
TestUseDeprecatedFlags,1.7741,2.67895,1.64648,1.74734,1.7309,1.7049,1.6543
TestValidArgsAndCmdCompletionInGo,1.37681,2.00691,1.34763,1.35657,1.38071,1.32495,1.40597
TestValidArgsCompletionInGo,1.45295,2.02879,1.29898,1.35325,1.32245,1.33865,1.36272
TestValidArgsFuncAliases,1.36697,2.05686,1.36192,1.4219,1.44181,1.40055,1.39919
TestValidArgsFuncAndCmdCompletionInGo,1.32091,2.15797,1.40947,1.33271,1.40517,1.35872,1.38426
TestValidArgsFuncChildCmds,1.36075,2.09927,1.3503,1.34919,1.34028,1.39853,1.36558
TestValidArgsFuncChildCmdsWithDesc,1.36663,2.1062,1.41388,1.41412,1.35796,1.39984,1.41683
TestValidArgsFuncCmdContext,1.38788,2.06366,1.31628,1.37062,1.39265,1.34914,1.35472
TestValidArgsFuncInBashScript,1.38326,2.0669,1.39498,1.38908,1.3513,1.44408,1.45247
TestValidArgsFuncSingleCmd,1.36726,2.04134,1.44732,1.39265,1.37888,1.37021,1.39395
TestValidArgsFuncSingleCmdInvalidArg,1.35815,2.02823,1.38309,1.41111,1.33438,1.35734,1.31676
TestValidArgsNotValidArgsFunc,1.07468,1.60661,1.05228,1.06114,1.05442,1.03968,1.04421
TestValidateFlagGroups,1.11906,1.60228,1.10741,1.10571,1.24657,1.15548,1.18973
TestVersionFlagExecuted,0.95305,1.56185,0.90395,1.00335,1.02551,1.07523,0.99064
TestVersionFlagExecutedDiplayName,0.911,1.43717,0.89031,0.85039,0.99062,1.05767,1.00314
TestVersionFlagExecutedOnSubcommand,1.01998,1.45433,0.88672,1.156,1.15234,1.07348,0.98125
TestVersionFlagExecutedWithNoName,1.01765,1.52967,0.96229,0.99497,1.21164,1.20724,1.11869
TestVersionFlagOnlyAddedToRoot,0.905,1.45255,0.97085,0.91687,0.91731,0.97547,0.92544
TestVersionFlagOnlyExistsIfVersionNonEmpty,0.9455,1.4799,0.93989,0.90485,0.89093,0.92492,0.91657
TestVersionTemplate,0.96153,1.64475,0.98585,1.05655,1.01625,0.99296,1.01966
TestVisitParents,0.93064,1.51002,0.9294,0.96501,0.93594,0.90675,0.92312
TestWrongGroupFirstLevel,1.30206,1.95109,1.27385,1.32372,1.17559,1.25803,1.2805
TestWrongGroupForCompletion,1.35377,2.56218,1.41912,1.26371,1.29789,1.29632,1.27334
TestWrongGroupForHelp,1.4711,1.91208,1.22958,1.64334,1.71486,1.78644,1.74849
TestWrongGroupNestedLevel,1.22828,1.98634,1.22739,1.27962,1.22102,1.31383,1.30271
TestZshCompletionWithActiveHelp,1.1962,1.71673,1.14777,1.19183,1.16099,1.17602,1.13176
