Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoPie,GoPie+,GoPieHB
TestContextStreamWithClientGone,1.40107,663.44159,662.05483,662.19379,1.35946,1.4958,1.53955
TestContextTypedError,1.92992,2.79096,1.89924,1.51939,1.44147,1.39751,1.43092
TestContextWithFallbackDeadlineFromRequestContext,1.57507,2.11036,1.55467,1.51656,1.49245,1.48868,1.50067
TestContextWithFallbackDoneFromRequestContext,1.48586,2.20501,1.55622,1.53979,1.49772,1.50933,1.48204
TestContextWithFallbackErrFromRequestContext,1.48992,2.08383,1.49238,1.51367,1.47572,1.51066,1.47304
TestContextWithFallbackValueFromRequestContext,1.51751,2.10517,1.49874,1.495,1.46613,72.88234,72.09158
TestContextWithKeysMutex,1.50641,2.13669,1.50978,1.49823,1.52278,1.46339,1.49737
TestCountParams,1.87815,2.4664,1.83209,1.86419,1.91603,1.89728,1.84418
TestCreateDefaultRouter,1.87986,2.55086,1.8957,1.99004,2.1886,2.38091,2.19872
TestCreateEngine,1.68003,2.38449,1.76589,1.7015,1.64974,1.62695,1.64496
TestCreateTestContextWithRouteParams,1.4939,2.16929,1.46645,1.57148,1.46698,1.48643,1.50941
TestCustomRecovery,1.85155,2.51583,1.98257,1.86629,1.75592,1.80749,1.88342
TestCustomRecoveryWithWriter,1.82922,2.66569,1.90715,1.74901,1.81279,1.84645,1.78673
TestCustomUnmarshalStruct,2.01495,2.83174,1.99274,1.74012,1.65219,1.77515,1.71972
TestDebugPrint,1.53774,2.15068,1.54325,1.49696,62.88374,72.13417,72.1373
TestDebugPrintError,1.50725,2.05879,1.5086,1.53005,74.41336,72.99344,76.68344
TestDebugPrintLoadTemplate,1.51458,2.05234,1.51746,1.55513,72.97003,72.16302,78.86558
TestDebugPrintRouteFunc,1.51102,2.08792,1.54008,1.51609,75.75715,78.04517,75.58866
TestDebugPrintRoutes,1.56343,2.11304,1.54999,1.54286,77.26464,72.14807,72.15417
TestDebugPrintWARNINGDefault,1.54759,2.08232,1.53855,1.54895,75.74477,662.1339,72.25764
TestDebugPrintWARNINGNew,1.51,2.09645,1.52864,1.52308,72.96606,72.17704,73.60173
TestDebugPrintWARNINGSetHTMLTemplate,1.5173,2.04276,1.56134,1.51012,77.27856,662.13961,72.2047
TestDefaultLogFormatter,1.84757,2.54086,1.88972,2.04091,2.24716,1.89234,2.20637
TestDir,1.52292,2.22024,1.52627,1.55257,1.55371,1.52931,1.59024
TestDir_listDirectory,1.55435,2.21136,1.53971,1.51734,1.59554,1.51789,1.55605
TestDisableBindValidation,1.91159,2.79561,1.98672,1.73256,1.76158,1.78731,1.75441
TestDisableConsoleColor,1.84433,2.54007,2.03365,1.74958,1.77834,1.81123,1.81661
TestEmptyWildcardName,2.00832,3.25303,2.34477,2.00844,1.98274,1.91691,2.09889
TestEnableJsonDecoderDisallowUnknownFields,1.83888,2.42248,1.84933,1.8659,1.85876,1.99761,2.06323
TestEnableJsonDecoderUseNumber,1.76066,2.49143,1.74413,1.7451,1.7605,1.75436,1.75653
TestEngineHandleContext,2.2526,3.16416,2.24125,2.30048,2.36872,2.35034,2.39089
TestEngineHandleContextManyReEntries,3.67448,4.12125,2.178,4.08967,4.13474,3.71528,3.69076
TestEngineHandleContextPreventsMiddlewareReEntry,1.96471,3.14774,1.8538,1.7846,1.93451,1.85907,1.70619
TestEngineHandleMethodNotAllowedCornerCase,1.82706,2.61538,1.83134,1.86665,1.82993,1.80028,1.80093
TestError,1.57134,2.09558,1.55125,1.50432,1.54332,1.58578,1.55974
TestErrorLogger,1.80555,2.53935,1.84883,1.89271,2.02948,1.87178,1.84962
TestErrorSlice,1.57033,2.16707,1.52578,1.5582,1.56923,1.53772,1.532
TestErrorUnwrap,1.50314,2.18317,1.52656,1.52615,1.53077,1.52224,1.58027
TestEscapedColon,2.09827,2.73916,1.86208,2.13834,1.90669,1.88387,1.79571
TestFileDescriptor,1.55134,2.25309,1.60303,1.55208,1.62719,662.87912,662.19182
TestFilterFlags,2.21269,2.64375,1.98742,2.01449,2.00933,2.12087,1.91274
TestForceConsoleColor,1.75307,2.5201,1.93696,1.77841,1.80439,1.76563,1.84821
TestFunction,1.84715,2.53107,1.87484,1.84591,1.8451,1.81494,1.84169
TestFunctionName,2.15622,2.74157,1.9931,2.20432,1.92082,2.06212,2.10029
TestGetMinVer,1.51378,2.12962,1.54914,1.58471,1.53885,1.51075,1.53129
TestGetRequestHeaderValue,1.47251,2.10163,1.44749,1.47779,1.45373,1.50734,1.54805
TestGithubAPI,1.72941,3.06383,1.99043,1.78532,1.79831,1.7505,1.70796
TestH2c,62.4639,681.94585,664.16626,77.81113,85.13732,72.83597,62.5811
TestHasRequestContext,1.50092,2.11583,1.55475,1.47435,1.49871,1.51607,1.43474
TestInterceptedHeader,1.55955,2.10517,1.47347,1.50199,1.48572,1.5177,1.50329
TestIsASCII,1.89317,2.66253,1.96866,2.07474,2.00144,2.08831,2.06627
TestIsDebugging,1.55686,2.22207,1.5088,1.52389,1.49044,1.49686,1.5419
TestIsOutputColor,1.86247,2.57378,1.82376,1.82571,1.82461,1.86227,1.77836
TestJoinPaths,2.09673,2.94897,2.14586,2.03182,2.22841,2.38995,2.55319
TestLastChar,1.98679,2.63436,2.07106,1.86112,1.87557,1.84747,1.82369
TestListOfRoutes,1.66324,2.35022,1.66828,1.83268,1.89597,1.82439,1.82019
TestListener,1.61991,2.22065,1.56991,1.60386,1.58844,662.92244,662.68185
TestLoadHTMLFSDebugMode,1.85867,2.60385,1.80467,1.85898,73.39014,690.44992,28.12451
TestLoadHTMLFSFuncMap,2.29181,3.31171,2.23408,2.25088,74.09625,17.82288,21.64889
TestLoadHTMLFSReleaseMode,1.91594,2.68907,1.95797,1.96192,75.46173,42.7594,9.25657
TestLoadHTMLFSTestMode,1.81663,2.55322,1.78767,1.7837,73.43061,93.05243,61.48326
TestLoadHTMLFSUsingTLS,1.85007,2.59971,1.81275,1.8413,73.42922,1.74943,37.54501
TestLoadHTMLFilesDebugMode,1.9322,2.6238,1.81082,1.82905,75.21694,8.33484,61.43868
TestLoadHTMLFilesFuncMap,1.82072,2.86465,1.90799,1.8328,73.54156,51.92112,80.52702
TestLoadHTMLFilesReleaseMode,1.99549,2.80545,1.90738,1.99432,73.63754,668.62302,102.83542
TestLoadHTMLFilesTestMode,2.03797,2.3306,1.64003,2.09231,73.96443,56.39769,22.80998
TestLoadHTMLFilesUsingTLS,1.87466,2.58847,2.03154,1.963,73.65438,60.41323,45.27778
TestLoadHTMLGlobDebugMode,1.7998,2.65596,1.91929,1.80597,73.51965,18.65398,58.7479
TestLoadHTMLGlobFromFuncMap,2.04081,2.74882,1.96163,1.95866,77.88984,103.75285,23.89643
TestLoadHTMLGlobReleaseMode,1.8766,2.47616,1.82124,1.87382,73.52842,120.55841,36.62343
TestLoadHTMLGlobTestMode,1.89932,2.57352,1.96227,1.93724,75.59798,49.59505,695.55987
TestLoadHTMLGlobUsingTLS,1.87812,2.71776,1.8996,1.93344,73.77785,57.4739,23.37238
TestLogger,1.76852,2.56008,1.91023,1.83731,1.77858,1.83615,1.84672
TestLoggerWithConfig,1.92661,2.55349,1.75956,1.92947,1.81319,1.72861,1.70647
TestLoggerWithConfigFormatting,1.70944,2.41348,1.67673,1.78135,2.09468,1.96216,1.73062
TestLoggerWithConfigSkipper,1.98343,3.09121,2.15967,1.84998,1.81762,1.90228,1.82834
TestLoggerWithConfigSkippingPaths,1.99435,2.91874,2.04135,2.04855,1.99236,2.00594,1.81117
TestLoggerWithFormatter,1.77004,2.41003,1.73281,1.7818,2.12356,2.15571,1.84452
TestLoggerWithWriterSkippingPaths,1.97991,2.99827,2.02424,2.14614,2.12176,2.25964,2.15695
TestMarshalXMLforH,2.16467,3.15162,1.95982,2.06686,2.07397,2.22594,2.05396
TestMaskAuthorization,1.89648,2.51309,1.8992,1.76488,1.76229,1.77504,1.85037
TestMethodNotAllowedNoRoute,1.88696,2.34183,1.66945,1.77444,1.72818,1.75176,1.7077
TestMiddlewareAbort,1.69688,2.35942,1.72537,1.72944,1.72537,1.68709,1.74646
TestMiddlewareAbortHandlersChainAndNext,1.70483,2.36348,1.69923,1.71339,1.74916,1.75889,1.89463
TestMiddlewareCalledOnceByRouterStaticFSNotFound,1.89131,2.6229,1.925,1.87736,1.86278,1.86298,1.93432
TestMiddlewareFailHandlersChain,1.78019,2.6063,1.87108,1.81401,2.2084,2.09256,1.82769
TestMiddlewareGeneralCase,1.74904,2.48426,1.79019,1.68648,1.73316,1.71677,1.70456
TestMiddlewareNoMethodDisabled,1.80335,2.51991,1.64202,1.93459,2.01225,2.01451,1.93644
TestMiddlewareNoMethodEnabled,1.69072,2.33943,1.69172,1.68481,1.76381,1.70384,1.84507
TestMiddlewareNoRoute,1.76337,2.39821,1.69019,1.69484,1.64771,1.68941,1.7114
TestMiddlewareWrite,2.07164,2.53678,1.79539,1.85776,1.80174,1.78835,1.71924
TestNewOptionFunc,2.03376,3.01016,2.02751,2.01727,2.04178,2.05141,1.96117
TestNoMethodWithGlobalHandlers,1.7128,2.48683,1.71953,1.73374,1.72116,1.75599,1.70313
TestNoMethodWithoutGlobalHandlers,1.9512,2.72465,1.95771,1.85457,1.81116,1.70712,1.73505
TestNoRouteWithGlobalHandlers,1.96451,2.66776,1.95469,1.97857,1.98511,1.94103,1.97565
TestNoRouteWithoutGlobalHandlers,1.92678,3.41999,2.18819,1.9326,1.99292,1.82716,1.78845
TestOnlyFilesFS_Open,1.52833,2.17015,1.52405,1.52492,1.52967,1.5174,1.49979
TestOnlyFilesFS_Open_err,1.55564,2.22975,1.51227,1.50777,1.5136,1.52699,1.52499
TestPanicClean,2.05342,2.51358,2.12621,1.84126,1.77912,1.80908,1.80627
TestPanicInHandler,1.78263,2.49968,1.7555,1.89883,1.82105,1.77117,1.76841
TestPanicWithAbort,1.76643,2.40074,1.78395,1.93138,1.84806,1.90505,1.77435
TestPanicWithBrokenPipe,1.93552,2.5307,1.86167,1.87421,1.89015,1.89015,1.86903
TestParseAccept,2.01505,2.92227,2.00529,2.0296,2.18037,1.95912,1.92357
TestPathClean,2.04045,2.91846,2.045,2.02337,2.22891,1.97058,2.07849
TestPathCleanLong,2.11697,3.41268,2.00717,1.96624,1.97748,2.13974,2.05549
TestPathCleanMallocs,1.99385,2.4129,1.78508,2.5594,1.9564,1.84753,2.22604
TestPrepareTrustedCIRDsWith,1.91863,2.55991,1.78726,1.98042,2.07568,2.23588,2.28969
TestPusher,1.50806,2.22407,1.57527,1.59092,1.57657,72.9415,72.2468
TestPusherWithPusher,1.98089,2.46577,1.81981,1.93021,1.82704,1.83666,1.87358
TestPusherWithoutPusher,1.93534,2.59062,1.97924,1.92938,1.83658,1.9101,1.96339
TestRaceContextCopy,3.48083,3.93014,3.74711,3.93057,3.70039,3.55006,3.84062
TestRaceParamsContextCopy,1.56545,2.24249,1.54564,1.56683,1.53972,89.71932,15.97478
TestRebuild404Handlers,1.64781,2.44565,1.61833,1.62455,1.63588,1.63511,1.71651
TestRecoveryWithWriterWithCustomRecovery,1.99199,2.68393,1.93181,1.95533,1.97578,1.89153,1.83449
TestRedirectTrailingSlash,1.98124,2.45047,1.8838,1.92464,1.88885,1.92973,1.88806
TestRemoteIPFail,1.49372,2.13714,1.49266,1.48027,1.4699,1.48527,1.50442
TestResetColor,1.89056,2.45237,1.78631,1.99061,2.12323,1.79167,1.78917
TestResponseWriterFlush,1.76057,2.55399,1.79623,1.80952,1.78468,1.76868,1.84305
